company,year,month,period,sentiment_score,revenue_growth,esg_score,employee_rating,market_share,media_mentions,customer_satisfaction,reputation_score,event_note,date,text,market_noise,category,clean_text,kmeans_cluster,hierarchical_cluster
TCS,2014,Jan,2014-01,0.296,0.0789,65.78,3.98,17.93,401,4.06,0.6421,,2014-01-01,TCS performance in January 2014 with reputation score 0.6421 showing stable,-0.035,General,tcs performance january 2014 reputation score 06421 showing stable,3,2
INFOSYS_LOW,2014,Jan,2014-01,0.296,0.0789,65.78,3.98,17.93,401,4.06,0.44947,,2014-01-01,TCS performance in January 2014 with reputation score 0.6421 showing stable (INFOSYS_LOW),-0.035,General,tcs performance january 2014 reputation score 06421 showing stable infosyslow,3,2
WIPRO_MED,2014,Jan,2014-01,0.296,0.0789,65.78,3.98,17.93,401,4.06,0.6421,,2014-01-01,TCS performance in January 2014 with reputation score 0.6421 showing stable (WIPRO_MED),-0.035,General,tcs performance january 2014 reputation score 06421 showing stable wipromed,3,2
HCL_HIGH,2014,Jan,2014-01,0.296,0.0789,65.78,3.98,17.93,401,4.06,0.8347300000000001,,2014-01-01,TCS performance in January 2014 with reputation score 0.6421 showing stable (HCL_HIGH),-0.035,General,tcs performance january 2014 reputation score 06421 showing stable hclhigh,3,2
Infosys,2014,Jan,2014-01,0.296,0.0789,65.78,3.98,17.93,401,4.06,0.6421,,2014-01-01,TCS performance in January 2014 with reputation score 0.6421 showing stable,-0.035,General,tcs performance january 2014 reputation score 06421 showing stable,3,2
WIPRO_MED,2014,Feb,2014-02,0.0,0.0742,65.65,3.74,17.86,439,3.71,0.6186,,2014-02-01,TCS performance in February 2014 with reputation score 0.6186 showing volatile (WIPRO_MED),-0.016,General,tcs performance february 2014 reputation score 06186 showing volatile wipromed,1,0
Infosys,2014,Feb,2014-02,0.0,0.0742,65.65,3.74,17.86,439,3.71,0.6186,,2014-02-01,TCS performance in February 2014 with reputation score 0.6186 showing volatile,-0.016,General,tcs performance february 2014 reputation score 06186 showing volatile,1,0
INFOSYS_LOW,2014,Feb,2014-02,0.0,0.0742,65.65,3.74,17.86,439,3.71,0.43302,,2014-02-01,TCS performance in February 2014 with reputation score 0.6186 showing volatile (INFOSYS_LOW),-0.016,General,tcs performance february 2014 reputation score 06186 showing volatile infosyslow,1,0
TCS,2014,Feb,2014-02,0.0,0.0742,65.65,3.74,17.86,439,3.71,0.6186,,2014-02-01,TCS performance in February 2014 with reputation score 0.6186 showing volatile,-0.016,General,tcs performance february 2014 reputation score 06186 showing volatile,1,0
HCL_HIGH,2014,Feb,2014-02,0.0,0.0742,65.65,3.74,17.86,439,3.71,0.8041800000000001,,2014-02-01,TCS performance in February 2014 with reputation score 0.6186 showing volatile (HCL_HIGH),-0.016,General,tcs performance february 2014 reputation score 06186 showing volatile hclhigh,1,0
TCS,2014,Mar,2014-03,0.296,0.0835,63.78,3.84,17.73,307,4.05,0.6333,,2014-03-01,TCS performance in March 2014 with reputation score 0.6333 showing stable,-0.02,General,tcs performance march 2014 reputation score 06333 showing stable,3,2
WIPRO_MED,2014,Mar,2014-03,0.296,0.0835,63.78,3.84,17.73,307,4.05,0.6333,,2014-03-01,TCS performance in March 2014 with reputation score 0.6333 showing stable (WIPRO_MED),-0.02,General,tcs performance march 2014 reputation score 06333 showing stable wipromed,3,2
INFOSYS_LOW,2014,Mar,2014-03,0.296,0.0835,63.78,3.84,17.73,307,4.05,0.4433099999999999,,2014-03-01,TCS performance in March 2014 with reputation score 0.6333 showing stable (INFOSYS_LOW),-0.02,General,tcs performance march 2014 reputation score 06333 showing stable infosyslow,3,2
HCL_HIGH,2014,Mar,2014-03,0.296,0.0835,63.78,3.84,17.73,307,4.05,0.82329,,2014-03-01,TCS performance in March 2014 with reputation score 0.6333 showing stable (HCL_HIGH),-0.02,General,tcs performance march 2014 reputation score 06333 showing stable hclhigh,3,2
Infosys,2014,Mar,2014-03,0.296,0.0835,63.78,3.84,17.73,307,4.05,0.6333,,2014-03-01,TCS performance in March 2014 with reputation score 0.6333 showing stable,-0.02,General,tcs performance march 2014 reputation score 06333 showing stable,3,2
Infosys,2014,Apr,2014-04,0.0,0.0775,63.29,3.73,18.03,327,3.94,0.6187,,2014-04-01,TCS performance in April 2014 with reputation score 0.6187 showing moderate,-0.073,General,tcs performance april 2014 reputation score 06187 showing moderate,0,1
INFOSYS_LOW,2014,Apr,2014-04,0.0,0.0775,63.29,3.73,18.03,327,3.94,0.43309,,2014-04-01,TCS performance in April 2014 with reputation score 0.6187 showing moderate (INFOSYS_LOW),-0.073,General,tcs performance april 2014 reputation score 06187 showing moderate infosyslow,0,1
WIPRO_MED,2014,Apr,2014-04,0.0,0.0775,63.29,3.73,18.03,327,3.94,0.6187,,2014-04-01,TCS performance in April 2014 with reputation score 0.6187 showing moderate (WIPRO_MED),-0.073,General,tcs performance april 2014 reputation score 06187 showing moderate wipromed,0,1
